Audio Path,Reference,Prediction
common_voice_en_41383256.mp3,The outer rim has undergone some erosion due to subsequent impacts.,The outer rim has undergone some erosion due to subsequent impacts
common_voice_en_41823983.mp3,"For purposes of this definition, the intent may be conditional.",For the purposes of this definition the intent may be conditional
common_voice_en_41881685.mp3,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.",Bennett was educated at Lonswood High School Leeds and Hertford College Oxford
common_voice_en_41799514.mp3,These rules became known as Admiral-Lord Mountevans rules.,These sleuths became the horse Admirer Lord Mount Tivin's sleuth
common_voice_en_41552032.mp3,The grouping traditionally called apes is bracketed from the right.,The grouping traditionally called apes is bracketed from the right
common_voice_en_41827319.mp3,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Coca Leaf is made up of vocal samples of singing women
common_voice_en_41526838.mp3,He also taught at the same university.,He also taught at the same university
common_voice_en_41435787.mp3,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan
common_voice_en_41633128.mp3,Bold denotes players currently active in international football.,Bold denotes players currently active in international football
common_voice_en_41586424.mp3,"At South Side, Greer was an all state selection in both football and track.",At Southside Greer was an all-state selection in both football and track
common_voice_en_41489529.mp3,Riley and Buffy pursue in his car.,riley and buffy pursue in his car
common_voice_en_41469700.mp3,The combined company was later renamed Kimball International.,The combined company was later renamed Kimball International
common_voice_en_41517336.mp3,It also features puzzles and platforming elements.,It also features puzzles and platforming elements
common_voice_en_41423014.mp3,It has three platforms.,It has three platforms
common_voice_en_41518962.mp3,"After graduation, she became the administrator of Western's French Immersion School.",After graduation she became the administrator of Western French Immersion School
common_voice_en_41592181.mp3,It airs in North America via Dish Network.,It airs in North America via Dish Network
common_voice_en_41532689.mp3,"Instead of signing artists, he makes one-time deals to release their songs as singles.",Instead of signing artists he makes one-time deals to release their songs as singles
common_voice_en_41503591.mp3,After this the town was rebuilt and simply referred to as 'Wells'.,After this the town was rebuilt and simply referred to as Wells
common_voice_en_41816931.mp3,That was enough for a conflict.,That was enough for a conflict
common_voice_en_41267069.mp3,"In Korea, carnations express admiration, love and gratitude.",In Korea the Kardashians express admiration love and gratitude
common_voice_en_41659267.mp3,Naval Academy in Annapolis.,Naval Academy in Annapolis
common_voice_en_41629760.mp3,"It also likes flower nectar, fruit and some seeds.",It also likes flower nectar fruit and some seeds
common_voice_en_41674821.mp3,"After graduation he served with the royal Prussian geological institute, making photographic surveys.",After graduation he served with the Royal Prussian Geological Institute making photographic surveys
common_voice_en_41577054.mp3,He worked as a builder and was later employed at Heathrow Airport.,He worked as a builder and was later employed at Heathrow airport
common_voice_en_41583225.mp3,It has also been proposed as a possible explanation for claims associated with stigmata.,It has also been proposed as a possible explanation for claims associated with stigmata
common_voice_en_41662681.mp3,He later attended the University of Maryland.,He later attended the University of Maryland
common_voice_en_41486401.mp3,Cuttings are slow to strike roots.,Cuttings are slow-to-strike routes
common_voice_en_41503529.mp3,The undergraduate program in theological studies provides an overall view of the Christian Mystery.,The undergraduate program in Theological Studies provides an overall view of the Christian mystery
common_voice_en_41678018.mp3,Balangiga can be reached through public utility vans and buses from Tacloban City.,Balanjiga can be reached through public utility vans and buses from Taklaban City
common_voice_en_41548292.mp3,The old comedy was awkward and poor in its versification.,the old comedy was awkward and poor in its versification
common_voice_en_41680077.mp3,"Considered a ""Shining Star"" of the Core Worlds.",Considered a shining star of the core worlds
common_voice_en_41798570.mp3,A win earns a two-year exemption for most events.,A win earns a two-year exemption for most events
common_voice_en_41295264.mp3,These may also be forgeries to conceal identities.,These may also be forgeries to conceal identities
common_voice_en_41645566.mp3,Moore lives in Toronto.,Moore lives in Toronto
common_voice_en_41284140.mp3,"In Lao, represents a doubled word.",In Lao represents a doubled world
common_voice_en_41550758.mp3,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film
common_voice_en_41543184.mp3,You just didn't bother saying 'this sucks' anymore.,You just didn't bother saying this sucks anymore
common_voice_en_41693119.mp3,"Its headquarters are in the town of Damaturu, the State capital.",Its headquarters are in the town of Demetru the state capital
common_voice_en_41796793.mp3,This is a hard one because I don't really believe in god,This is a hard one because I don't really believe in God
common_voice_en_41798305.mp3,The rank has a rather confusing history.,The rank has a rather confusing history
common_voice_en_41731588.mp3,He experienced weightlessness and saw the curvature of the Earth.,He experienced weightlessness and saw the curvature of the earth
common_voice_en_41735538.mp3,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs Cooney was refereed by Mills Lane
common_voice_en_41307772.mp3,It is a freeway for its entire length.,It is a freeway for its entire length
common_voice_en_41307806.mp3,This group became legendary in the dance world.,This group became legendary in the dance world
common_voice_en_41547685.mp3,The mountains separate Luzon's central plain from the South China Sea.,The mountains separate Luzon's central plain from the South China Sea
common_voice_en_41547689.mp3,Fundamental justice was thus seen as having been violated.,Fundamental justice was thus seen as having been violated
common_voice_en_41587501.mp3,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,A mosque is situated inside Sityo Polangan on the outskirts of the city
common_voice_en_41654965.mp3,The river bearing this name was renamed Pagan River.,The river bearing this name was renamed Pagan River
common_voice_en_41684833.mp3,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".",A similar example is Charlotte Perkins' Gilman story The Yellow Wallpaper
common_voice_en_41685590.mp3,The establishment was commanded by an officer of the rank of Lieutenant Commander.,The establishment was commanded by an officer of the rank of a lieutenant commander
common_voice_en_41833893.mp3,Application is usually performed by the patient.,Application is usually performed by the patient
common_voice_en_41833909.mp3,This would become Sultan Husayn Mirza's first mercenary force.,This would become Sultan Hussein Mirza's first mercenary force
common_voice_en_41795315.mp3,The rescue operation was affected by rain.,The rescue operation was effected by lightning
common_voice_en_41796378.mp3,He attended Santa Monica High School.,He attended Santa Monica High School
common_voice_en_41692019.mp3,Both men left everything they had in the ring.,both men left everything they had in the ring
common_voice_en_41692025.mp3,Falls automatically incur a deduction depending on the level the gymnast is on.,Faults automatically incur a deduction depending on the level the gymnast is on
common_voice_en_41539028.mp3,He painted in the same chapel a picture of the Last Judgment.,He painted in the same chapel a picture of the Last Judgment
common_voice_en_41539144.mp3,Barbour attended school until she was fourteen years old.,Barbara attended school until she was 14 years old
common_voice_en_41669299.mp3,There are two organisations supporting people undertaking the journey.,There are two organizations supporting people undertake the journey
common_voice_en_41669390.mp3,The team split later in the season.,The team split later in the season
common_voice_en_41465981.mp3,"His sister married John Darley, bishop of Kilmore, Elphin, and Ardagh.",his sister married john darley bishop of kilmore elphin and ardagh
common_voice_en_41466012.mp3,They went home laden with souvenir gifts and expensive paintings.,they went home laden with souvenir gifts and expensive paintings
common_voice_en_41466013.mp3,It is billed as an anti-consumer lifestyle.,It is billed as an anti-consumer lifestyle
common_voice_en_41644631.mp3,It was the central supply centre for railway construction.,It was the central supply center for railway construction
common_voice_en_41647486.mp3,He appealed and was subsequently given a suspended sentence and fine.,He appeared and was subsequently given a suspended sentence and fine
common_voice_en_41647490.mp3,Child and Preston's books are notable for their thorough research.,Charles and Preston's books are notable for their thorough research
common_voice_en_41746094.mp3,This was a calculated killing done in cold blood.,This was a calculated killing done in cold blood
common_voice_en_41746309.mp3,The Division command structure became a Special Service Brigade command.,The division command structure became a special service brigade command
common_voice_en_41748220.mp3,A number are important parasites.,A number are important parasites
common_voice_en_41475404.mp3,Her keel was laid at the Portsmouth Navy Yard.,Her keel was laid at the Portsmouth Navy Yard
common_voice_en_41475405.mp3,"He managed to steal a gun and shoot one German, injuring him.",He managed to steal a gun and shoot one German injuring him
common_voice_en_41632678.mp3,The band produced it themselves.,The band produced it themselves
common_voice_en_41474829.mp3,Metrorail's Orange Line now closely follows this line's former route.,Metro Rail's orange line now closely follows this line's former route
common_voice_en_41474834.mp3,"The composer never married, and no names of lovers are recorded.",The composer never married and no names of lovers are recorded
common_voice_en_41474836.mp3,"Explain the term ""blue box"".",Explain the term blue box
common_voice_en_41474838.mp3,The light sculpture on the Rheinturm is the largest digital clock in the world.,The light sculpture on the Vane term is the largest digital clock in the world
common_voice_en_41795709.mp3,Austria qualified one male open water swimmer.,Australia qualified one male open water swimmer
common_voice_en_41795905.mp3,"When used correctly, a fairly high degree of precision can be achieved.",When used correctly a fairly high degree of precision can be achieved
common_voice_en_41796143.mp3,Museum of Old Monaco is installed on three levels.,Museum of old Monaco is installed on three levels
common_voice_en_41796169.mp3,"It is strongly linked with County Mayo, Connacht.",It is strongly linked with County Mayo Connacht
common_voice_en_41650651.mp3,Particularly remarkable are those ostraca which contain liturgical songs.,Particularly remarkable are those ostraca which contain liturgical songs
common_voice_en_41650721.mp3,There were bevel gears on the shaft.,There were beaver gears on the shaft
common_voice_en_41650825.mp3,The majority of the station's programming is produced and broadcast from Nottingham.,The majority of the station's programming is produced and broadcast from Nottingham
common_voice_en_41650834.mp3,"Mallet designs were popular in Hungary, too.",Mallet designs were popular in Hungary too
common_voice_en_41414853.mp3,The seven human cases have all been infected only after contact with sick horses.,The 7 human cases have all been infected only after contact with sick horses
common_voice_en_41414862.mp3,"They soon recorded ""For Girls Like You"".",They soon recorded for Girls Like You
common_voice_en_41414882.mp3,They also received updated cab signaling systems.,They also received updated CAP signaling system
common_voice_en_41414884.mp3,"Notable regional programs have included ""Switchback"", and ""Land and Sea"".",Multiple regional programs have included switchback and land and sea
common_voice_en_41415275.mp3,"In the two cases of a small orbit, the stabilizer is non-trivial.",In the two cases of a small orbit the stabilizer is non-trivial
common_voice_en_41415276.mp3,Johnson earned his third Pro Bowl berth that season.,Johnson earned his third Pro Bowl berth that season
common_voice_en_41320212.mp3,"Cable ends up shooting Hammer, paralyzing him.",Cable ends up shooting Hammer paralyzing him
common_voice_en_41388272.mp3,The boat was sinking and the crew was abandoning ship.,The boat was sinking and the crew was about to leave the ship
common_voice_en_41405074.mp3,She becomes his slave until she frees herself.,She becomes his slave until she frees herself
common_voice_en_41459660.mp3,"One month before losing the title, his brother had been murdered.",One month before releasing the title his brother had been murdered
common_voice_en_41515144.mp3,Hasselbach's parents were two Communist-party loyal journalists.,Hasselblad's Paris was a communist party-lord journalist
common_voice_en_41651891.mp3,"Other towns within the commune include Basbellain, Drinklange, Hautbellain, Huldange, and Wilwerdange.",Other towns visit the commune include Masberian Turing Lines Harberian Hordines and Warwick Lines
common_voice_en_41485389.mp3,"Additionally, the unit has been used in some unusual non-passenger workings.",Additionally the unit has been used in some unusual non-passenger workings
common_voice_en_41485411.mp3,The Patientsâ€™ Welfare Committee gratefully acknowledged the league for the move.,The Patients Welfare Committee gratefully acknowledged the leak for the move
common_voice_en_41485468.mp3,Blair worked closely with the county historians to train and advise them.,Blair worked closely with the county historians to train and advise them
common_voice_en_41485470.mp3,"The region's major agricultural activities are cotton and cereal growing, winemaking and sericulture.",The region's major agricultural activities are cotton and cereal growing winemaking and sericulture
common_voice_en_41485479.mp3,"The unincorporated communities of Larsen, Medina Junction, and Mikesville are located within the town.",The unincorporated communities of Larson Medina Junction and Mikesville are located within the town
common_voice_en_41485931.mp3,The pair cause an undersea avalanche that buries them for several months.,The pair calls an undersea avalanche that buries them for several months
common_voice_en_41486095.mp3,Sabbath subsequently loses the Doctor's time-sensitive heart and the Doctor grows a new one.,Sabbath subsequently loses the doctor's time-sensitive heart and the doctor grows a new one
common_voice_en_41486099.mp3,That resulted therefore that most of the nobility is untitled in the Netherlands.,that resulted therefore that most of the nobility is untitled in the netherlands
common_voice_en_41486103.mp3,To write about me is nothing like it is to be with me.,To write about me is nothing like it is to be with me
common_voice_en_41486133.mp3,"After a year-long layoff, he returned to training.",After a year-long layoff he returned to training
common_voice_en_41486135.mp3,Each line is referred to as a cylinder bank.,Each line is referred to as a cylinder bank
common_voice_en_41288974.mp3,"The traditional boats are called ""Keteks"" or sampans.",The traditional boats are called ketiks or sampans
common_voice_en_41288995.mp3,The city government is a council-manager form of government.,The city government is a council manager form of government
common_voice_en_41289037.mp3,He was elected a Fellow of the Royal Society the same year.,He was elected a Fellow of the Royal Society the same year
common_voice_en_41289083.mp3,"Good afternoon, Mrs. Blewett.",Good afternoon Mrs Beloved
common_voice_en_41289090.mp3,"In that election, he was returned on the regional list.",In that election he was returned on the regional list
common_voice_en_41289092.mp3,Lai began her teaching career at Sacred Hearts Convent.,I began our teaching career at Sacred Hearts Convent
common_voice_en_41289105.mp3,Modern meaning: tribe.,Modern meaning tribe
common_voice_en_41289234.mp3,Matt the Mute writes out everything he wants to say.,Matt the Mute writes out everything he wants to say
common_voice_en_41289374.mp3,"The nearest railway station is Moses Gate, and Metrolink serves the nearby Radcliffe stop.",The nearest railway station is Moses Gate and Metrolink serves the nearby Radcliffe Stop
common_voice_en_41289375.mp3,Administratively this range is part of the Sermersooq Municipality.,Administratively this range is part of the Semisilk Municipality
common_voice_en_41289381.mp3,Later pickup trucks in Europe gained a fifth gear.,Later pickup trucks in Europe gained a fifth gear
common_voice_en_41289396.mp3,"The village today is mainly residential and agricultural, but there is some light industry.",The village today is mainly residential and agricultural but there is some light industry
common_voice_en_41289398.mp3,Fisher sued Dees for copyright infringement.,Fisher Sue Dees for copyright infringement
common_voice_en_41289494.mp3,There's no one left to lie to.,There's no one left to light you
common_voice_en_41289508.mp3,"Alexander's claims were recognized by the Roman Senate, Ptolemy Philometor of Egypt and others.",Alexander's claims were recognized by the Roman Senate Ptolemy the Philometer of Egypt and others
common_voice_en_41289521.mp3,Pope arguably satirises it from within rather than looking down judgmentally on the characters.,Pope arguably satirizes it from within rather than looking down judgmentally on the characters
common_voice_en_41289558.mp3,The land office referred the caveat to the Supreme Court of the Northwest Territories.,The Land Office referred the caveat to the Supreme Court of the Northwest Territories
common_voice_en_41289580.mp3,Their duty is to enforce the financial judgements of the local courts.,Their duty is to enforce the financial judgments of the local courts
common_voice_en_41289606.mp3,"It appears on Lewis and Clark's maps as ""Port-pel-lah"".",It appears on Lewis and Clark's map as Port Pella
common_voice_en_41289636.mp3,The demerit points are also in close relation with the students' conduct grade.,The demerit points are also in close relation with the student's conduct grade
common_voice_en_41289637.mp3,She was the first ship named for Commander Frank Ragan King.,She was the first ship named for Commander Frank Ragon King
common_voice_en_41289712.mp3,Part of the original works site has become a Tesco supermarket.,Part of the original worksite has become a Tesco supermarket
common_voice_en_41290028.mp3,Various academic institutions offer courses of study in the ethics of medical humanities.,Various academic institutions offer courses of study in the ethics of medical humanities
common_voice_en_41290103.mp3,Undeletion is not fail-safe.,and deletion is not failsafe
common_voice_en_41290109.mp3,That date was also postponed.,The date was also postponed
common_voice_en_41290111.mp3,This transmission electron microscope was used as a prototype for later electron microscopes.,This transmission electron microscope was used as a prototype for later electron microscopes
common_voice_en_41290117.mp3,Tussock tundra dominates the terrain surrounding the lake.,Tuzuk Tundra dominates the terrain surrounding the lake
common_voice_en_41290119.mp3,Scarlett accepts only for Rhett's money.,Scarlet accepts only for Rhett's money
common_voice_en_41290130.mp3,"It specialized in Punk Rock, Indie Rock and Emo.",It specialized in punk rock indie rock and emo
common_voice_en_41290137.mp3,"The Newport Beach plant was demolished, and rezoned for residential development.",The Newport Beach Plant was demolished and rezoned for residential development
common_voice_en_41290178.mp3,Once this has started then other varieties can be introduced.,Once this has started then other varieties can be introduced
common_voice_en_41290179.mp3,Vast African Oil Palm plantations now dot the area.,Fast African oil palm plantations now dot the area
common_voice_en_41290187.mp3,Sometimes the cable ferry is human powered by someone on the boat.,Sometimes the cable ferry is human-powered by someone on the boat
common_voice_en_41290195.mp3,"Furthermore, lawyers, friends, and libertarians give their view of the story.",Furthermore lawyers friends and libertarians give their view of the story
common_voice_en_41290290.mp3,His later poems are inspired by a late love for a very young girl.,His later poems are inspired by a late love for a very young girl
common_voice_en_41290379.mp3,He also held the posts of prime minister and foreign minister.,He also held the posts of Prime Minister and Foreign Minister
common_voice_en_41290416.mp3,He was often called Honest John.,He was often called Honest John
common_voice_en_41290431.mp3,After the Lombard invasion it belonged to the Duchy of Ivrea.,After the Lombard invasion it belonged to the Duchy of Errea
common_voice_en_41290436.mp3,"For example, he did a stint as one of the What's My Line?",For example he did a synth as one of the What's My Line
common_voice_en_41290442.mp3,"Hicks was born in Long Beach, California.",Hicks was born in Long Beach California
common_voice_en_41290444.mp3,A bullpup configuration called Kushnapup is also available for all Saiga calibers.,A bullpup configuration called Kushnapup is also available for all Saiga calibers
common_voice_en_41290465.mp3,"Eligible facilities can be located in England, Scotland, Wales or Northern Ireland.",Eligible facilities can be located in England Scotland Wales or Northern Ireland
common_voice_en_41290470.mp3,"This event inspired Harris to paint his ""A Meeting of the School Trustees"".",This event inspired Harris to paint his A Meeting of the School Trustees
common_voice_en_41291108.mp3,"Unlike Sonic, Tails can also swim underwater.",I'm like Sonic Tails can also swim underwater
common_voice_en_41291129.mp3,The township includes Decoria Cemetery.,The township includes Decoria Cemetery
common_voice_en_41291154.mp3,One of her stained-glass windows is at Champ-de-Mars metro station in Montreal.,One of our Stinglass windows is at the Champ de Meurice metro station in Montreal
common_voice_en_41291194.mp3,She belongs to the first generation of actors in the Ivan Vazov National Theater.,She belongs to the first generation of actors in the Ivan Vazov National Theater
common_voice_en_41307022.mp3,The town of Odder is located south of the city of Aarhus.,The town of Otter is located south of the city of Arras
common_voice_en_41307074.mp3,"What's ""on"" Earth?",What's on Earth
common_voice_en_41307214.mp3,Then there was the long climb home.,Then there was the long climb home
common_voice_en_41350374.mp3,It is well known for making its window management transparent to the application.,It is well known for making its window management transparent to the application
common_voice_en_41350495.mp3,He also campaigned against the reliance of hospitality staff on tips.,We also campaigned against the reliance of hospitality staff on tips
common_voice_en_41350795.mp3,"They had four children, all born in Los Angeles, California.",They had four children all born in Los Angeles California
common_voice_en_41351236.mp3,"He designed operas including ""Lucrezia Borgia"" for productions starring Dame Joan Sutherland.",He designed operas including Lucrezia Borgia for production starring Dame Joan Sutherland
common_voice_en_41366246.mp3,Who is he?,Who is he
common_voice_en_41366367.mp3,The increased detail is most apparent in Grand Prix mode.,The increased detail is most apparent in Grand Prix mode
common_voice_en_41366531.mp3,It produces many trophy bass annually.,It produces many trophy bats annually
common_voice_en_41368771.mp3,"All other isotopes have half-lives under a day, most under an hour.",All other isotopes have half-lives under a day most under an hour
common_voice_en_41369027.mp3,"Overall, the economy will expand, ""and"" productivity per worker will increase.",Overall the economy will expand and productivity per worker will increase
common_voice_en_41369060.mp3,Xeno died soon after.,But Zeno died soon after
common_voice_en_41376847.mp3,Drainage density depends upon both climate and physical characteristics of the drainage basin.,Drainage density depends upon both climate and physical characteristics of the drainage basin
common_voice_en_41441573.mp3,Cholesterol regulates the function of several membrane proteins associated with lipid rafts.,Cholesterol regulates the function of several membrane proteins associated with lipid rafts
common_voice_en_41693457.mp3,Ediacaran of Russian federation and South Australia.,Edie Akron of Russian Federation in South Australia
common_voice_en_41605033.mp3,"However, McNeil was confident in the strength of his defense and refused to surrender.",However McNeil was confident in the strength of his defense and refused to surrender
common_voice_en_41605037.mp3,It's got suspense but no staying power.,It's got suspense but no staying power
common_voice_en_41632278.mp3,The work is divided into two books.,The work is divided into two bolts
common_voice_en_41632284.mp3,Congress passed the Act in order to avoid a nationwide strike.,Congress passed the act in order to avoid a nationwide strike
common_voice_en_41632329.mp3,"The series was filmed under the working title ""Jersey"".",The series was filmed under the working title Jersey
common_voice_en_41633275.mp3,"This is difficult, however, since his profession and personal relationships are often intertwined.",This is difficult however since his profession and personal relationships are often intertwined
common_voice_en_41633303.mp3,Clubs with three or more players represented are listed.,Clubs with three or more players represented are listed
common_voice_en_41633321.mp3,Her major technique is hand printing with ink and mixed media.,Her major technique is hand printing with ink and mixed media
common_voice_en_41633342.mp3,"The word is related to ""to sunder"" in the meaning of ""to separate"".",The word is related to sunder in the meaning of to separate
common_voice_en_41640726.mp3,George explores the city and rescues a paraglider on the Bay Bridge.,George explores the city and rescues a paraglider on the Bay Bridge
common_voice_en_41640797.mp3,Alumni occupy a number of senior executive positions in India and abroad.,Alumni occupy a number of senior executive positions in India and abroad
common_voice_en_41640858.mp3,An Enquiry service is available.,An inquiry service is available
common_voice_en_41640893.mp3,Other minimum performance standards or eligibility criteria may apply in other sports.,Other minimum performance standards or eligibility criteria may apply in other sports
common_voice_en_41640903.mp3,He promoted the Nuclear Center of Mexico that would be inaugurated after his death.,he promoted the nuclear center of Mexico that would be inaugurated after his death
common_voice_en_41640929.mp3,She stays in a hut or shelter specially made for her.,She stays in a hut or shelter specially made for her
common_voice_en_41646807.mp3,An oyster of the old school whom nobody can open.,An Oyster of the Old School Whom Nobody Can Open
common_voice_en_41646828.mp3,Wayne was enraged and demanded a full court-martial.,Wayne was enraged and demanded a full court-martial
common_voice_en_41646865.mp3,"During the opening, Snoopy practices magic with Woodstock by his side.",During the opening Snoopy practices magic with Woodstock by his side
common_voice_en_41646916.mp3,De Luco was born in Basque Country.,DeLuca was born in Basque Country
common_voice_en_41647307.mp3,"An excellent arrangement, Pearce.",An excellent arrangement Pierce
common_voice_en_41650535.mp3,His activities in this post demanded constant travelling through the very extensive district.,His activities in this post demanded constant traveling through the very extensive district
common_voice_en_41650559.mp3,After Lately debuted on E!,After Lightly debuted on E
common_voice_en_41653542.mp3,"Alternatively, mission equipment can be installed in the cabin area.",Alternatively mission equipment can be installed in the cabin area
common_voice_en_41653606.mp3,Hopewell Junction is located within the town of East Fishkill.,Hopewell Junction is located within the town of East Fishkill
common_voice_en_41653609.mp3,"The name of the band may be translated as ""meaningful hallucinations"" or ""semantic hallucinations.",The name of the band may be translated as meaningful hallucinations or semantic hallucinations
common_voice_en_41653613.mp3,From Scandinavia they travelled south through Russia.,From Scandinavia they traveled south through Russia
common_voice_en_41653632.mp3,The camera is then pushed along the track while the image is being filmed.,The camera is then pushed along the track while the image is being filmed
common_voice_en_41653651.mp3,He is married to Claire.,He's married to Claire
common_voice_en_41653757.mp3,So the smaller boy belonged at first almost entirely to Annie.,So the smaller boy belonged at first almost entirely to Annie
common_voice_en_41653758.mp3,George finds the dragon and takes it into custody.,George finds the dragon and takes it into custody
common_voice_en_41653852.mp3,Red Shirt was also a popular leader and served as Three Bears' lieutenant.,Red Shirt was also a popular leader and served as Three Bears Lieutenant
common_voice_en_41653912.mp3,Marvel editors scrapped the story due to concerns about the controversy it might generate.,Marvel editors scrapped the story due to concerns about the controversy it might generate
common_voice_en_41653916.mp3,The following year he was promoted to the rank of lieutenant.,The following year he was promoted to the rank of lieutenant
common_voice_en_41653928.mp3,Coffey opened the Dock Distillery on Grand Canal Street in Dublin.,Coffee opened the Dock Distillery on Grand Canal Street in Dublin
common_voice_en_41653930.mp3,"Everybody liked her, for among her good gifts was tact.",Everybody liked her for among her good gifts was tact
common_voice_en_41654122.mp3,He has also written two novels.,He has also written two novels
common_voice_en_41654142.mp3,"He grew up in Teaneck, and attended Teaneck High School.",He grew up in Teaneck and attended Teaneck High School
common_voice_en_41654173.mp3,"In India, the root bark is sometimes used for tanning.",In India the root bark is sometimes used for tanning
common_voice_en_41664193.mp3,The station is barrier free from the street to the bus platforms.,The station is barrier free from the street to the bus platforms
common_voice_en_41664201.mp3,"He died in America, where he had a Virginia estate.",He died in America where he had a Virginia estate
common_voice_en_41664245.mp3,"The first two emphasize language, cultural, and training skills in working with foreign troops.",First to emphasize language cultural and training skills in working with foreign troops
common_voice_en_41678595.mp3,Many of these programs are highlighted in the following sections.,Many of these programs are highlighted in the following sections
common_voice_en_41678614.mp3,"Additionally, he has made contributions to the deformation theory of algebraic varieties.",Additionally he has made contributions to the deformation theory of algebraic varieties
common_voice_en_41678634.mp3,"Unlike traditional minesweepers, they were not equipped for sweeping moored or magnetic mines.",Unlike traditional minesweepers they were not equipped for sweeping moored or magnetic mines
common_voice_en_41678647.mp3,He was famous for his attention to the details of eyelids and toenails.,He was famous for his attention to the details of eyelids and toenails
common_voice_en_41678650.mp3,"With her new position, she oversaw the reorganisation of the Devonshire estates.",With her new position she oversaw the reorganization of the Devonshire Estates
common_voice_en_41682467.mp3,"A system of limestone caves does exist within the mountain, but they remain undocumented.",A system of limestone caves does exist within the mountain but they remain undocumented
common_voice_en_41682485.mp3,Agnotherapy is a method developed in Israel to help elderly people express their feelings.,Agnotherapy is a method developed in Israel to help elderly people express their feelings
common_voice_en_41682531.mp3,"In church and waiting on trains, like.",In church and waiting on trains like
common_voice_en_41686447.mp3,Little is known about his life and only one of his works has survived.,Little is known about his life and only one of his works has survived
common_voice_en_41686449.mp3,"The bel is seldom used, as the decibel was the proposed working unit.",The bell is seldom used as a decibel was the proposed working unit
common_voice_en_41686470.mp3,The victories on the court have begun to add up.,The victories on the court have begun to add up
common_voice_en_41686475.mp3,More ambiguous terms for a privately held company are unquoted company and unlisted company.,More ambiguous terms for a privately held company are unquoted company and unlisted company
common_voice_en_41686493.mp3,He performed for Frank Sinatra and Liza Minnelli.,He performed for Frank Sinatra and Liza Minnelli
common_voice_en_41686497.mp3,They also defined rules for conformation competitions for mixed-breed dogs.,They also defined rules for confirmation competitions for mixed breed dogs
common_voice_en_41691663.mp3,Tafoya married Geronimo Tafoya with whom she had eight children.,Tafoya married Geronimo Tafoya with whom she had eight children
common_voice_en_41691674.mp3,"Also in residence are the storm petrel, Bulwer's petrel and yellow-legged gull.",Also in residence are the storm petrel bulwurst petrel and yellow-legged gull
common_voice_en_41691860.mp3,It is unknown whether this is the same Kohlit as the city.,It is unknown whether this is the same colet as a city
common_voice_en_41692086.mp3,He has been represented by the Premier Speakers Bureau.,He has been represented by the Premier Speakers Bureau
common_voice_en_41692112.mp3,This workload on the railroads required some skillful co-ordination.,This workload on the railroads required some skillful coordination
common_voice_en_41692243.mp3,Anne hoped that the tears would come in solitude.,and hoped that the tears would come in solitude
common_voice_en_41692271.mp3,"It is a ""concerto"" for guitar and orchestra.",It is a concerto for guitar and orchestra
common_voice_en_41692285.mp3,"His reputation is that of a lawyer, a statesman and a man of letters.",his reputation is that of a lawyer a statesman and a man of letters
common_voice_en_41692385.mp3,"It now has its own website, where a scanned copy can be found.",It now has its own website where a scanned copy can be found
common_voice_en_41692535.mp3,This body of water is very famous for pleasure boating.,This body of water is very famous for pleasure boating
common_voice_en_41692548.mp3,Nor should one be surprised that the tunes themselves have multiple names.,Nor should one be surprised that the tunes themselves have multiple names
common_voice_en_41692600.mp3,Beavercreek is the birthplace of geocaching.,Beaver Creek is the birthplace of geocaching
common_voice_en_41696203.mp3,There should be room for three people on the front seat.,There should be room for three people on the front seat
common_voice_en_41696290.mp3,One of the Englishmen would have done that.,One of the Englishmen would have done that
common_voice_en_41704461.mp3,It is the oldest continuous organization of New Orleans Mardi Gras festivities.,It is the oldest continuous organization of New Orleans Mardi Gras festivities
common_voice_en_41704512.mp3,Boyzone manager Louis Walsh was quoted as saying: We're all absolutely devastated.,The boy's own manager Lewis Walsh was quoted as saying We're all absolutely devastated
common_voice_en_41704522.mp3,The regiment's first overseas service came during the Second Opium War against China.,The regiment's first overseas service came during the Second Opium War against China
common_voice_en_41704530.mp3,"For a list of past DualDisc releases, see ""List of DualDisc releases"".",For a list of past dual disk releases see List of Dual Disk Releases
common_voice_en_41764721.mp3,You can compare it with the marketing strategies of competitors.,You can compare it with the marketing strategies of competitors
common_voice_en_41764867.mp3,Most other cities have similar problems.,Most other cities have similar problems
common_voice_en_41764882.mp3,He headed many lobbies to the provincial and nation's capital.,He headed many lobbies to the provincial and nation's capital
common_voice_en_41765127.mp3,"Behind this is Tai Mo Shan, the tallest hill in Hong Kong.",Behind this is Tai Mo Shan the tallest hill in Hong Kong
common_voice_en_41765553.mp3,"He ran two more races the next year, suffering transmission failure in both races.",He ran two more races the next year suffering transmission failure in both races
